team_index,team_name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
46,Greenock Morton,Geoghegan,Eviston,Cashin,Bacon,O'Toole,Dolan,Cullen,Berry,Redmond,O'Connell,Moonie,Konsbrueck,Raach,Petry,Gruen,Kloot
47,Clydebank,Thome,Thoemmes,Kempny,Wilbois,Silva,Horn,Haas,Chaussy,Reuland,Stronck,Marchione,Jochem,Courtois,Steffen,Metzger,Klak
48,Dumbarton,Hajto,Jegor,Staniek,Waldoch,Agafon,Kubik,Kosela,Brzeczek,Grembocki,Bal'zynski,Dziuk,Staniek,Kocyba,Brzoza,Kraus,Bodzioch
49,Queens Park,Beben,Wagner,Jaworski,Lehmann,Fournier,Herr,Geiger,Quentin,Hottiger,Milton,Piffaretti,Assis,Tulio,Bonvin,Clausen,Carlos
50,Cove Rangers,Wickey,Oggier,Lonfat,Schuler,Schurmann,Reitmaier,Imhof,Arcanu,Bita,Papura,Mogosanu,Cojocaru,Cristescu,Pigulea,Stinga,Calin
51,Ross County,Gane,Crioveanu,Olaru,Jianu,Suciu,Ganea,Neagoe,Sburlea,Lung,Moisescu,Dodu,Nicolaou,Andrellis,Christofi,Ioannou,Sofocleous
52,Lothian Rangers,Pittas,Spoljaric,Iosifides,Charal'bus,Scepovic,Krcmarevic,Iosofides,Christofi,Yangudakis,Juras,Hadjil'zou,Hajic'ndis,Christofi,Xicuroppas,Tsingis,Kapplani
53,Fort William,Alliu,Abazi,Xhakoni,Furrxhi,Dashi,Mehmeti,Qendro,Kapedani,Zalla,Koca,Qendro,Kuci,Fraholli,Vila,Bushi,Kalaja
54,Forfar,Shtama,Canaku,Isufi,Grodas,Bjarmann,Bergdolmo,Schiller,Bjerkeland,Gulb'ndsen,Karlsson,Pedersen,Bohinen,McManus,Mjelde,Buer,Kallstad
55,Lossiemouth,Dallokken,Berntsen,Gulb'ndsen,Sognnaes,Knudsen,Ibsen,Hamsun,Muscat,Camilleri,Woods,Attard,Docherty,Mifsud,Scerri,Spiteri,Carabott
56,Queen Of South,Lawrence,Zacchau,Attard,Farrugia,Camilleri,Franc'anza,Taliana,Abela,Farrugia,Mifsud,Pareta,Niemi,Europaeus,Helin,Onttonen,Hyrylainen
57,Alloa,Yla-Jusila,Gronlund,Heinola,Murtomaki,Vanhala,Tauriainen,Rantanen,Lehkosuo,Wallden,Vuorela,Takatalo,Suokon-tio,Palmroos,Saarinen,Jenei,Engin
58,Clyde,Mujdat,Emre,Wagenhaus,Ogechukwu,Oguz,Mecnur,Nielsen,Tayfur,Ilker,Bulent,Hotic,Kemalettin,Hakan,Nuri,Aykut,Semih
59,Stranraer,Metin,Cemre,Turan,Finbogason,Kostic,Adolfsson,Gislason,Haraldsson,Jonsson,Thordarson,Hognason,Ingolfsson,Gudjonsson,Bibercic,Haraldsson,Hinriksson
60,Rothes,Sig'einson,Hervarsson,Reynisson,Sigur'sson,Gudmundson,Theodorson,Jonasson,Wandzik,Apost'akis,Kalitzakis,Mavridis,Maragos,Yoryadis,Hrist'olou,Antoniou,Donis
61,Livingston,Warzycha,Saravakos,Markos,Borelli,Ouzounidis,Kapouranis,Franzeskos,Nioblias,Abaditakis,Yotsas,Nikoplidis,Wozniak,Chojnacki,Pawlak,Bendkowski,Leszynski
62,Brora Rangers,Ambrozej,Wieszczyki,Krysiak,Podolski,Cebula,Pluciennik,Nowacki,Kaczowka,Dziedzic,Lenart,Soszynski,Kosciuk,Gawronski,Lapczynski,Dob'wolski,Baia
63,Kilmarnock,Aloisio,Couto,Jorge,Joao,Pinto,Secretario,Andre,Semedo,Timofte,Kostadinov,Drulovic,Magalhaes,Domingos,Santos,Carlos,Toni
64,Inverness C Th,Costa,Candido,Filipe,Tueba,Atmatzidis,Vlahos,Karayannis,Manolas,Sab'dzovic,Agoroyanis,Kassapis,Saveski,Tsartas,Dimit'adis,Sliskovic,Mitropulos
65,Arsenal,Borbokis,P'dopoulos,Kopitsis,Alexandris,Koutoulas,Karayannis,Aristos,Kristos,Pascolo,Djurovski,Schepull,Suathier,Aeby,Ohrel,Sinval,Margarini
66,East Fife,Barberis,Renato,Neuville,Barea,Velletri,Prinz,Egli,Grassi,Rot'buhler,Marguairat,Kuffer,Meier,Panayiotou,Kastanas,Panayi,Stavrou
67,Brechin City,Panayiotou,Charal'bus,Ketsbaia,Tsangaris,Pounnas,Gogic,Melan'itis,Sapuric,Andreou,Ioannou,Kotsonis,Rizos,Chysos'mou,Christou,Malekkos,Theodorou
68,Montrose,Kerremans,Rasquin,Janevski,Gerard,Van,Meir,Moury,Mommens,Balog,Brogno,Malbasa,Missemisse,Bukran,Remy,Jacquemart,Silvagni
69,Berwick Rangers,Casto,Fasano,Gulyas,V,Ankeren,De,Jaeger,Eriksson,Lind,Hansson,Vaatovaara,Blohm,Bergort,Rodlund,Jansson,Andersson
70,East Stirling,Andersson,Kindvall,Marovic,Hansson,Kuznetsov,Kalen,Hellstrom,Samuelsson,Jonander,Norrby,Wisen,Koch,Vanek,Wilhelm,Ferron,Zaritski
71,Kelty,Peters,Goergen,Holtz,Scholten,Krahen,Krings,Weis,Marchal,Jentgen,Moreira,Lopes,Meyers,Felten,Stange,Urbing,Friedel
72,Arthurlie,Amoruso,Short,Neill,E,Johannsn,Flitcroft,Tugay,Gamst,P'sn,Stead,Dickov,Jansen,Reid,Gresko,Ferguson,Matteo
73,Forres Mechs,Gallagher,Todd,Fallentin,Pedersen,Pettersen,Molnar,Moravec,Rupec,Schulzc,Tomko,Obsitnik,Prokop,Sluka,Solar,Medved,Vasik
74,Huntly,Gregusca,Stojka,Mraz,Smelko,Luhovy,Rehik,Toth,Bacek,Laslop,Nikolov,Markov,Khubchev,Tsvetanov,Yankov,Todorov,Angelov
75,Whitehill Wel.,Tolba,Grigoras,Borimirov,Sirakov,Kremenliev,Ivanov,Iliev,Koev,Trendaflov,Mitsanski,Morgun,Mitov,Bonchev,Szeiler,Telek,Szekeres
76,Buckie Thistle,Keller,Simon,Albert,Paling,Lipcsei,Gregor,Wukovics,Kovacs,Kuznetsov,Nagy,Detari,Hrutka,Zabadszky,Szucs,Balogh,Orban
77,Stenhousemuir,Nogradi,Klos,Zelic,Schmidt,Schulz,Sammer,Reinhardt,Zorc,Poschner,Povlsen,Riedle,Chapuisat,Kutowski,Freund,Reuter,Grauer
78,Gala Fairydean,Sippel,Franck,De,Beer,Karl,Mill,Hayrettin,Stumpf,Bulent,Mert,Goetz,Hamza,Suat,Yusuf,Tugay,Hakan
79,Selkirk,Arif,Ugur,Turkyilmaz,Erdal,Cihat,Mustafa,Yusuf,Nezihi,Okan,Benhur,Toader,Iovan,Vamesu,Stanciu,Guzun,Tira
80,Cowdenbeath,Bealcu,Chebac,Zamfir,Chirita,Voinea,Budaca,Iosif,Motroc,Carstea,Lupu,Harea,Stelea,Baston,Postolache,Rise,Martinsen
81,Pollock,Henriksen,Tangen,Bragstad,Bergersen,Skam'strud,Leonardsen,Loken,Dahlum,Sorloth,Kvarme,Riseth,I'brigsten,Stensaas,Stobakk,Johnsen,Selnaes
82,Elgin City,Heyerdaahl,Lagerkvist,Kahn,Kuffour,Sagnol,Linke,Effenberg,Thaim,Salih'zic,Hargreaves,Scholl,Sergio,Zickler,Lizerazau,Kovac,Jeremies
83,Keith,Kovac,Santa,Cruz,Sforza,Wessels,Fink,Muench,Liano,Djukic,Nando,Ribera,Voro,Fran,Recarte,Silva,Donato
84,Peterhead,Bebeto,Claudio,Alfredo,Manjarin,Riesco,Paco,Vales,Mariano,Canales,Ramon,Villa,Kasmi,Malko,Sula,Tole,Dhales
85,Fraserburgh,Gallo,Zuna,Zela,Fortuzi,Bushi,Lacka,Dede,Stoja,Ismaili,Dyrmyshi,Prenga,Mema,Kokuri,Cyzio,Kotherja,De
86,Auchinleck,Goey,Fraser,De,Wolf,Heus,Van,Gobbel,Bosz,Scholten,Witschge,Van,Loen,Taument,Blinker,Refos,Larsson
87,Tayport,Maas,Trustfull,Kiprich,Obiku,Wapenar,Gunlaugson,Gorre,Bucci,Minotti,Sensini,Apolloni,Benarrivo,Di,Chiara,Pin,Crippa
88,Clachnacuddin,Zola,Asprilla,Brolin,Zoratto,Pizzi,Matrecano,Pellegrini,Melli,Franchini,Ballotta,Sottili,Castellini,Robakiwicz,Ratajczyk,Kruszankin,Zielinski
89,Nairn County,Jalocha,Mandz'wicz,Fedoruk,Michalski,Pisz,Kowalczyk,Podbrozny,Jozwiak,Wedzynski,Bayer,Gmur,Grzesiak,Czykier,Szczesny,Jaworek,Mizia
90,Deveronvale,Verlinden,Medved,Borkelmans,Okon,Renier,V,Der,Elst,V,D,Heyden,Staelens,Verheyen,Eykelkamp,Amokachi,Plovie
91,Annan Ath,Creve,Vermant,Verspaille,Dziubinski,Disztl,Belpaire,Cossey,Van,Durme,Petersen,Tur,Lonstrup,Kaus,Uldbjerg,Giolbas,Nielsen
92,Spartans,Johansen,Falch,Johansen,Moller,Jensen,Manniche,Nielsen,Lykke,Tengstedt,Wegner,Flies,Mikkelsen,Tobiasen,Biryukov,Pekonen,Makela
93,Cumnock,Vilianen,Lindberg,Roth,Happonen,Huttonen,Laaksonen,Turunen,Rajamaki,U,Koskinen,A,Koskinen,Neiman,Hyypia,Keskitalo,Helkala
94,CS Strollers,Hasu,Hellsten,Kinnunen,Harrington,O'Donoghue,Daly,Napier,Cotter,Buckley,Barry,Murphy,Gaynor,Caulfield,Glynn,Hyde,Morley
95,Vale Of Leven,Eels,Phillips,Woods,Roche,Ludzic,Heaney,McGrath,Lamont,Easton,Dornan,McConnell,Spiers,Baillie,Beatty,Knell,Peebles
96,Albion Rovers,Gorman,Haylock,English,Campbell,Campbell,Hill,McIlroy,Doherty,Patterson,Wade,Johnston,Janos,Lerch,Hipp,Suchoparek,Penicka
97,Lochgelly,Kozel,Necas,Bejbl,Novotny,Rusnak,Smicer,Tatarchuk,Berger,Hysky,Silhavy,Kuka,Simacek,Vahala,Kakas,Sulek,Koszta
98,Tollcross Utd,Hahn,Aranyos,Nagy,Puglits,Kriska,Romanek,Nyilas,Vig,Repasi,Fule,Simon,Molnar,Sallai,Kasza,Dzurjak,Szalai
99,Burntisland,Hamori,Nemeth,Hartmaan,Manannikov,Nechai,Gerashenko,Shmarko,Burlacenko,Tsarenko,Menschikov,Ver'nnikov,Kovalenko,Yesipov,Nidergaus,Kuznetsov,Zhidkov
100,Manor Thistle,Stogov,Yeschenko,Nechayev,Moroz,Gritsenko,Zuyenko,Pankratiev,Brunner,Vega,Thueler,Gren,Nemtsoudis,Koller,Yakin,Bickel,Willems
101,Vale Of Leithen,Elber,Wiederkehr,Lombardo,De,Napoli,Nakhid,Gaemperle,Magnin,Meier,Muller,Heldmann,Huber,Huard,Senac,Croci,Dogon
102,Livingston Utd,Lizarazu,Zidane,Lucas,Guerit,Vercruysse,Dugarry,Paille,Dib,Fofana,Witschge,Santos,Grenet,Fischer,Perez,Daniel,Plancque
103,Newtongrange St,Vencel,Chvila,Kinder,Tittel,Stupala,Lancz,Nigro,Tomaschek,Pecko,Gostic,Timko,Kristofik,Chytil,Klinovsky,Zeman,Maixner
104,Craigroyston,Kitka,Kakas,Podany,Kalenda,Stein,Tskhadadze,Dickhaut,Binz,Komlj'ovic,Falkenmaer,Bein,Weber,Gaudino,Yeboah,Furtok,Bindewald
105,Pencaitland,Bommer,Okacha,Roth,Doll,Reis,Ernst,Hagner,Wolf,Boschker,Hoogma,Zwij'nberg,Karnebeek,Arts,Kool,Boerebach,Van
106,Hawick RA,Halst,Pahlplatz,Vurens,Polley,Gaasbeek,Mols,Veenhof,Paus,Leurink,Ten,Hag,Roox,Higerink,Volmer,Jojko,Mac'jewski
107,Athletic Bilbao,Swier'wski,Wegrzyn,Ledwon,Widuch,Borawski,Strojek,Kucz,Wolny,Janoszka,Witkowski,Grzesik,Karwan,Nikodem,Szczygiel,Osyra,Baran
